
reward = -1000
epsilon = 0.1; gamma = 0.75; alpha = 0.5;

[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 86 totalScore 167 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 87 totalScore 168 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 88 totalScore 168 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 16 BEST SCORE SO FAR 26 StepCount 89 totalScore 184 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 26 StepCount 90 totalScore 188 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 91 totalScore 188 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 92 totalScore 189 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 93 totalScore 189 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 94 totalScore 189 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 95 totalScore 189 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 96 totalScore 189 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 97 totalScore 189 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 98 totalScore 191 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 99 totalScore 191 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 100 totalScore 191 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 101 totalScore 191 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 8 BEST SCORE SO FAR 26 StepCount 102 totalScore 199 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 103 totalScore 199 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 26 StepCount 104 totalScore 202 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 105 totalScore 202 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 26 StepCount 106 totalScore 205 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 107 totalScore 205 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 108 totalScore 206 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 14 BEST SCORE SO FAR 26 StepCount 109 totalScore 220 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 11 BEST SCORE SO FAR 26 StepCount 110 totalScore 231 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 111 totalScore 233 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 112 totalScore 234 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 113 totalScore 234 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 12 BEST SCORE SO FAR 26 StepCount 114 totalScore 246 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 115 totalScore 246 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 116 totalScore 246 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 117 totalScore 248 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 118 totalScore 248 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 119 totalScore 248 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 120 totalScore 250 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 121 totalScore 251 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 122 totalScore 253 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 123 totalScore 253 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 26 StepCount 124 totalScore 256 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 8 BEST SCORE SO FAR 26 StepCount 125 totalScore 264 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 126 totalScore 265 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 127 totalScore 265 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 128 totalScore 265 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 129 totalScore 265 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 130 totalScore 265 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 131 totalScore 265 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 132 totalScore 267 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 133 totalScore 269 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 134 totalScore 270 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 135 totalScore 272 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 136 totalScore 272 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 137 totalScore 272 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 138 totalScore 274 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 139 totalScore 274 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 140 totalScore 276 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 141 totalScore 276 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 142 totalScore 276 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 26 StepCount 143 totalScore 279 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 144 totalScore 281 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 145 totalScore 282 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 146 totalScore 282 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 147 totalScore 283 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 148 totalScore 285 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 26 StepCount 149 totalScore 288 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 150 totalScore 288 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 151 totalScore 289 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 152 totalScore 289 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 26 StepCount 153 totalScore 292 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 154 totalScore 292 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 155 totalScore 294 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 8 BEST SCORE SO FAR 26 StepCount 156 totalScore 302 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 157 totalScore 303 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 158 totalScore 305 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 159 totalScore 305 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 160 totalScore 306 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 161 totalScore 307 (index.js, line 239)
> Selected Element
< <body>…</body> = $2
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 162 totalScore 308 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 163 totalScore 308 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 164 totalScore 308 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 165 totalScore 308 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 166 totalScore 308 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 167 totalScore 309 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 168 totalScore 310 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 26 StepCount 169 totalScore 313 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 170 totalScore 313 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 26 StepCount 171 totalScore 318 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 11 BEST SCORE SO FAR 26 StepCount 172 totalScore 329 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 26 StepCount 173 totalScore 334 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 174 totalScore 334 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 175 totalScore 334 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 176 totalScore 334 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 177 totalScore 334 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 178 totalScore 334 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 179 totalScore 335 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 180 totalScore 335 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 181 totalScore 336 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 182 totalScore 337 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 183 totalScore 337 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 184 totalScore 337 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 185 totalScore 339 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 26 StepCount 186 totalScore 345 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 187 totalScore 345 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 9 BEST SCORE SO FAR 26 StepCount 188 totalScore 354 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 189 totalScore 354 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 190 totalScore 354 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 191 totalScore 354 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 192 totalScore 354 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 193 totalScore 354 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 26 StepCount 194 totalScore 358 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 195 totalScore 359 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 196 totalScore 359 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 197 totalScore 359 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 198 totalScore 361 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 199 totalScore 361 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 200 totalScore 361 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 201 totalScore 361 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 202 totalScore 363 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 203 totalScore 363 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 204 totalScore 363 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 205 totalScore 363 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 206 totalScore 363 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 207 totalScore 363 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 26 StepCount 208 totalScore 367 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 209 totalScore 367 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 210 totalScore 367 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 211 totalScore 367 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 212 totalScore 367 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 213 totalScore 368 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 214 totalScore 368 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 215 totalScore 368 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 216 totalScore 368 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 217 totalScore 369 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 218 totalScore 371 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 26 StepCount 219 totalScore 375 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 26 StepCount 220 totalScore 378 (index.js, line 239)
