# reward = -1000, epsilon = 0.1, epsilon = 0.1, gamma = 0.1, alpha = 0.5;

[Log] Agent Object Initialized (agent.js, line 8)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 103 totalScore 213 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 104 totalScore 214 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 105 totalScore 214 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 13 StepCount 106 totalScore 218 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 9 BEST SCORE SO FAR 13 StepCount 107 totalScore 227 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 13 StepCount 108 totalScore 231 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 109 totalScore 231 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 110 totalScore 231 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 111 totalScore 231 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 112 totalScore 231 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 113 totalScore 232 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 114 totalScore 233 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 13 StepCount 115 totalScore 238 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 116 totalScore 238 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 8 BEST SCORE SO FAR 13 StepCount 117 totalScore 246 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 118 totalScore 247 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 119 totalScore 247 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 120 totalScore 247 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 121 totalScore 248 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 122 totalScore 248 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 123 totalScore 249 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 124 totalScore 249 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 125 totalScore 249 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 126 totalScore 250 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 127 totalScore 251 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 128 totalScore 251 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 129 totalScore 251 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 130 totalScore 251 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 131 totalScore 252 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 13 StepCount 132 totalScore 257 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 13 StepCount 133 totalScore 263 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 134 totalScore 263 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 13 StepCount 135 totalScore 269 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 13 StepCount 136 totalScore 275 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 137 totalScore 275 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 138 totalScore 275 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 13 StepCount 139 totalScore 281 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 140 totalScore 282 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 13 StepCount 141 totalScore 284 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 142 totalScore 284 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 143 totalScore 285 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 144 totalScore 286 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 145 totalScore 287 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 146 totalScore 287 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 147 totalScore 287 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 13 StepCount 148 totalScore 289 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 149 totalScore 289 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 150 totalScore 289 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 151 totalScore 289 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 13 StepCount 152 totalScore 291 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 13 StepCount 153 totalScore 293 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 13 StepCount 154 totalScore 295 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 155 totalScore 296 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 156 totalScore 297 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 157 totalScore 298 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 158 totalScore 299 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 159 totalScore 300 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 160 totalScore 300 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 13 StepCount 161 totalScore 302 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 13 StepCount 162 totalScore 305 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 13 StepCount 163 totalScore 309 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 164 totalScore 309 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 165 totalScore 310 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 166 totalScore 310 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 9 BEST SCORE SO FAR 13 StepCount 167 totalScore 319 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 168 totalScore 320 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 169 totalScore 320 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 7 BEST SCORE SO FAR 13 StepCount 170 totalScore 327 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 20 BEST SCORE SO FAR 20 StepCount 171 totalScore 347 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 20 StepCount 172 totalScore 348 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 20 StepCount 173 totalScore 350 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 174 totalScore 350 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 175 totalScore 350 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 176 totalScore 350 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 20 StepCount 177 totalScore 356 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 20 StepCount 178 totalScore 357 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 20 StepCount 179 totalScore 358 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 20 StepCount 180 totalScore 359 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 20 StepCount 181 totalScore 361 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 20 StepCount 182 totalScore 363 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 18 BEST SCORE SO FAR 20 StepCount 183 totalScore 381 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 20 StepCount 184 totalScore 385 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 20 StepCount 185 totalScore 390 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 20 StepCount 186 totalScore 391 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 187 totalScore 391 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 20 StepCount 188 totalScore 392 (index.js, line 240)
